State/UT,2020,2021,2022,2023,2024,2025
Andhra Pradesh,188997,179611,158547,145313,133183,122066
Arunachal Pradesh,2244,2626,2308,2364,2422,2481
Assam,111558,119883,59315,46544,36523,28659
Bihar,194698,186006,211079,220593,230536,240927
Chhattisgarh,65216,70519,73822,78552,83585,88940
Goa,3393,2099,2711,2589,2472,2360
Gujarat,381849,273056,134600,81300,49106,29660
Haryana,103276,112720,125435,138244,152361,167920
Himachal Pradesh,14803,13041,13231,12539,11884,11263
Jharkhand,51033,47684,48726,47659,46615,45594
Karnataka,106350,115728,129461,142850,157624,173926
Kerala,149099,142643,235858,307816,401728,524292
Madhya Pradesh,283881,304066,298578,306498,314628,322974
Maharashtra,394017,367218,374038,364791,355772,346976
Manipur,2349,2484,3029,3448,3925,4468
Meghalaya,2871,2672,2914,2944,2975,3006
Mizoram,1787,2467,3587,5083,7203,10208
Nagaland,1022,1033,1008,1001,994,987
Odisha,108533,124956,143414,164856,189504,217838
Punjab,49870,46454,43738,40961,38360,35924
Rajasthan,193279,214552,236090,260932,288388,318733
Sikkim,504,532,549,573,598,624
Tamil Nadu,891700,322852,193913,93338,44927,21625
Telangana,135885,146131,151849,160544,169737,179457
Tripura,4010,4133,3653,3496,3346,3203
Uttar Pradesh,355110,357905,401787,427999,455921,485665
Uttarakhand,13812,15704,16967,18811,20855,23122
West Bengal,158060,157498,156503,155730,154961,154196
Andaman and Nicobar Islands,482,386,460,458,456,454
Chandigarh,2583,2401,2941,3168,3412,3675
Dadra and Nagar Haveli and Daman and Diu,441,490,1184,2088,3682,6494
Delhi,249192,291904,300429,330563,363719,400201
Jammu and Kashmir,25233,27447,25915,26328,26748,27174
Ladakh,387,519,439,480,524,572
Lakshadweep,107,89,64,49,37,28
Puducherry,6725,3851,3237,2287,1615,1141
